"oid","fk_books","fk_langs"
84752678,12795,"fi"
84752679,12796,"fi"
84752685,12802,"fi"
84752686,12804,"fi"
84752702,12812,"fr"
84752712,12822,"nl"
84752714,12824,"fi"
84752727,12829,"fr"
84752729,12831,"da"
84752735,12837,"fr"
84752736,12838,"fi"
84752738,12840,"es"
84752742,12844,"no"
84752746,12848,"es"
84752767,12862,"fr"
84752770,12865,"fr"
84752957,12869,"fr"
84752801,12889,"fr"
84752805,12893,"fr"
84752837,12906,"fi"
84752838,12907,"fi"
84752886,12921,"de"
84752888,12927,"de"
84752923,12949,"fr"
84752924,12950,"fr"
84752944,12969,"fr"
84752954,12979,"fr"
84752963,12987,"da"
84752969,12993,"fr"
84752978,12999,"fr"
84752990,13013,"fr"
84752993,13016,"fr"
84753000,13023,"fi"
84740471,13024,"fr"
84740481,13025,"fr"
84741293,13027,"fr"
84750128,13036,"fr"
84750220,13038,"fr"
84753024,13041,"no"
84753043,13059,"fr"
84753047,13063,"fi"
84753066,13070,"fr"
84753077,13083,"cs"
84753086,13092,"pt"
84753087,13093,"pt"
84753075,13096,"fr"
84753091,13099,"fi"
84753092,13100,"sv"
84753093,13101,"sv"
84753117,13122,"fr"
84753124,13129,"fi"
84753129,13134,"fi"
84753137,13140,"fi"
84753009,13149,"fr"
84753015,13156,"tl"
84753141,13164,"fi"
84753142,13165,"fi"
84753148,13171,"fi"
84753150,13173,"fi"
84753151,13174,"fi"
84753152,13175,"da"
84753167,13187,"fr"
84753169,13189,"fr"
84753170,13190,"fr"
84753172,13192,"fr"
84753177,13198,"fr"
84753186,13207,"fr"
84753226,13210,"es"
84753230,13214,"nl"
84753232,13216,"es"
84753256,13219,"fr"
84753258,13221,"fr"
84753302,13230,"fr"
84753303,13231,"fr"
84753305,13233,"tl"
84753321,13236,"nl"
84753332,13247,"fr"
84753375,13256,"fr"
84753383,13258,"fr"
84753384,13259,"fi"
84753388,13263,"fr"
84753389,13264,"es"
84753409,13284,"fr"
84753424,13299,"fr"
84753428,13303,"fr"
84753433,13308,"fi"
84753441,13316,"la"
84753442,13317,"nl"
84753443,13318,"fi"
84753445,13320,"tl"
84753451,13326,"nl"
84753453,13328,"fi"
84753461,13336,"fr"
84753463,13338,"fi"
84753464,13339,"fr"
84753471,13346,"nl"
84753496,13371,"sv"
84753499,13374,"fr"
84753503,13378,"nl"
84753505,13380,"fr"
84753508,13383,"fr"
84753510,13385,"fr"
84753511,13386,"nl"
84753519,13394,"fi"
84753525,13400,"fr"
84753553,13428,"fi"
84753554,13429,"fi"
84753556,13431,"fr"
84753570,13445,"fi"
84753577,13451,"de"
84753578,13452,"de"
84753582,13456,"fr"
84753584,13458,"es"
84753594,13475,"fr"
84753603,13478,"fr"
84753604,13479,"es"
84753615,13490,"fr"
84753617,13492,"es"
84753631,13507,"es"
84753641,13516,"es"
84753646,13519,"es"
84753650,13523,"fr"
